"","ref_date","GEO","DGUID","New.housing.price.indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","full_date","yr"
"76","1987-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,48,"",NA,NA,1,1987-04-01,1987
"77","1987-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,48.3,"",NA,NA,1,1987-05-01,1987
"78","1987-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,48.6,"",NA,NA,1,1987-06-01,1987
"79","1987-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,48.8,"",NA,NA,1,1987-07-01,1987
"80","1987-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,49,"",NA,NA,1,1987-08-01,1987
"81","1987-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,49.2,"",NA,NA,1,1987-09-01,1987
"82","1987-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,49.3,"",NA,NA,1,1987-10-01,1987
"83","1987-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,49.5,"",NA,NA,1,1987-11-01,1987
"84","1987-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,49.5,"",NA,NA,1,1987-12-01,1987
"85","1988-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,49.7,"",NA,NA,1,1988-01-01,1988
"86","1988-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.1,"",NA,NA,1,1988-02-01,1988
"87","1988-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.6,"",NA,NA,1,1988-03-01,1988
"88","1988-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.5,"",NA,NA,1,1988-04-01,1988
"89","1988-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.1,"",NA,NA,1,1988-05-01,1988
"90","1988-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1988-06-01,1988
"91","1988-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.5,"",NA,NA,1,1988-07-01,1988
"92","1988-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,53,"",NA,NA,1,1988-08-01,1988
